scenario_id,avg_fill_ratio,partial_fill_count,zero_fill_count,filled_count,partial_fill_capacity_count,zero_fill_capacity_count,no_buy_limit_or_missing_count,no_exit_limit_or_missing_count
capacity_5000000_part_100bp_slip_5bp,0.1288795986143042,563,1,16,563,1,0,0
capacity_5000000_part_100bp_slip_10bp,0.1288795986143042,563,1,16,563,1,0,0
capacity_5000000_part_100bp_slip_15bp,0.1288795986143042,563,1,16,563,1,0,0
capacity_5000000_part_100bp_slip_20bp,0.1288795986143042,563,1,16,563,1,0,0
capacity_5000000_part_300bp_slip_5bp,0.27258613978617613,512,1,67,512,1,0,0
capacity_5000000_part_300bp_slip_10bp,0.27258613978617613,512,1,67,512,1,0,0
capacity_5000000_part_300bp_slip_15bp,0.27258613978617613,512,1,67,512,1,0,0
capacity_5000000_part_300bp_slip_20bp,0.27258613978617613,512,1,67,512,1,0,0
capacity_5000000_part_500bp_slip_5bp,0.3611912367787948,482,1,97,482,1,0,0
capacity_5000000_part_500bp_slip_10bp,0.3611912367787948,482,1,97,482,1,0,0
capacity_5000000_part_500bp_slip_15bp,0.3611912367787948,482,1,97,482,1,0,0
capacity_5000000_part_500bp_slip_20bp,0.3611912367787948,482,1,97,482,1,0,0
capacity_5000000_part_1000bp_slip_5bp,0.517804037267043,425,1,154,425,1,0,0
capacity_5000000_part_1000bp_slip_10bp,0.517804037267043,425,1,154,425,1,0,0
capacity_5000000_part_1000bp_slip_15bp,0.517804037267043,425,1,154,425,1,0,0
capacity_5000000_part_1000bp_slip_20bp,0.517804037267043,425,1,154,425,1,0,0
