scenario_id,rule_id,split,trades,unique_stocks,unique_industries,top10_stock_trade_share,top5_industry_trade_share,top10_stock_pnl_yuan,bottom10_stock_pnl_yuan,top10_stock_positive_pnl_share,top5_industry_pnl_yuan,bottom5_industry_pnl_yuan
base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,research_holdout,6560,1013,98,0.0760670731707317,0.23948170731707316,84233.34106554059,-84199.0395334822,0.11460453133950615,109188.85433765141,-44392.921973038436
base_1m_5pct_signal_40bps,low_stock_ret_60d,research_holdout,6560,1081,100,0.075,0.2894817073170732,129853.63956375228,-168652.79733755544,0.10317310319260496,232042.91929206712,-113591.08458388493
base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,train,23100,1854,106,0.05437229437229437,0.225021645021645,126688.7792872068,-182571.47474251225,0.08002038069427114,109272.35026802777,-189365.4080398083
base_1m_5pct_signal_40bps,low_stock_ret_60d,train,23100,1893,106,0.039696969696969696,0.3887878787878788,235996.54599212576,-235895.71546719296,0.08041398427091606,324691.24997860944,-312354.20499794296
base_1m_5pct_signal_40bps,combo_low_liquidity_weak_momentum,validation,9680,912,97,0.09235537190082645,0.3191115702479339,195592.8617351275,-124517.59848814152,0.19507263700551913,142724.67077252315,-87803.2472740451
base_1m_5pct_signal_40bps,low_stock_ret_60d,validation,9680,1135,97,0.0634297520661157,0.3340909090909091,242119.108433805,-193384.48351897256,0.15152830512550367,228445.36451628682,-180328.71814061832
